model,source_view,target_view,queries,candidate_count_mean,mrr,recall_at_1,recall_at_5,pairwise_auc
sCITEconcept,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,484,12.617768595041325,0.5631337355252644,0.3698347107438016,0.8553719008264463,0.8080363105673023
sCITEconcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,403,13.74937965260546,0.4793015607221562,0.2878411910669975,0.7369727047146402,0.7406134109407354
sCITEconcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,388,13.079896907216495,0.4626057525958981,0.2603092783505155,0.7448453608247423,0.7214253708776905
sCITEconcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,367,12.46866485013624,0.5326777143534637,0.335149863760218,0.784741144414169,0.7787058914443111
sCITEconcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,329,13.164133738601825,0.4644250168946217,0.2674772036474164,0.7325227963525835,0.7298799984210318
sCITEconcept,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,967,12.773526370217166,0.5659986787313571,0.3640124095139607,0.8572905894519132,0.8214908660122785
sCITEconcept,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,510,10.949019607843136,0.6258117808117808,0.4254901960784313,0.9137254901960784,0.840521858315976
sCITEconcept,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,343,9.384839650145771,0.552731605938603,0.3381924198250728,0.8658892128279884,0.7577496766272276
sCITEconcept,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,854,12.824355971896956,0.5821212246219134,0.3934426229508196,0.8466042154566745,0.8200634876786895
sCITEconcept,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,453,10.98896247240618,0.5859352751736857,0.390728476821192,0.8807947019867549,0.8006840167436194
sCITEconcept,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,340,9.43529411764706,0.5864789703760293,0.3705882352941176,0.8764705882352941,0.7875233426704015
sCITEconcept,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,862,12.68677494199536,0.5722812570260366,0.377030162412993,0.8422273781902552,0.8166153318611692
sCITEconcept,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,458,10.995633187772926,0.6050163931168298,0.4148471615720524,0.8820960698689956,0.8146313536051527
sCITEconcept,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,298,9.187919463087248,0.5417637917637917,0.3221476510067114,0.8758389261744967,0.7473931270072209
